image_path,xmin,ymin,xmax,ymax,label
four_band.tif,858,65,873,78,Tree
four_band.tif,870,93,889,124,Tree
four_band.tif,1084,84,1114,108,Tree
four_band.tif,1036,112,1066,136,Tree
four_band.tif,1072,109,1102,139,Tree
four_band.tif,1065,61,1092,94,Tree
four_band.tif,1117,27,1129,43,Tree
four_band.tif,1124,43,1142,59,Tree
four_band.tif,1100,68,1120,85,Tree
four_band.tif,325,105,345,125,Tree
four_band.tif,290,136,325,173,Tree
four_band.tif,929,556,947,579,Tree
four_band.tif,811,822,844,856,Tree
four_band.tif,283,862,307,888,Tree
four_band.tif,124,122,153,158,Tree
four_band.tif,357,69,375,92,Tree
four_band.tif,555,92,570,106,Tree
four_band.tif,646,43,678,79,Tree
four_band.tif,992,35,1022,75,Tree
four_band.tif,912,132,950,172,Tree
four_band.tif,734,90,755,117,Tree
four_band.tif,744,117,764,143,Tree
four_band.tif,104,513,124,534,Tree
four_band.tif,133,505,168,542,Tree
four_band.tif,351,872,372,888,Tree
four_band.tif,328,772,349,797,Tree
four_band.tif,323,853,336,867,Tree
four_band.tif,475,763,494,786,Tree
four_band.tif,443,774,469,805,Tree
four_band.tif,420,739,444,759,Tree
four_band.tif,569,662,587,682,Tree
four_band.tif,559,676,573,696,Tree
four_band.tif,544,688,557,705,Tree
four_band.tif,582,605,600,630,Tree
four_band.tif,598,630,614,654,Tree
four_band.tif,574,633,594,652,Tree
four_band.tif,558,629,572,644,Tree
four_band.tif,548,632,558,648,Tree
four_band.tif,533,652,542,663,Tree
four_band.tif,512,737,533,761,Tree
four_band.tif,448,694,468,718,Tree
four_band.tif,430,695,447,717,Tree
four_band.tif,418,826,446,852,Tree
four_band.tif,450,819,472,844,Tree
four_band.tif,467,836,498,862,Tree
four_band.tif,489,862,515,888,Tree
four_band.tif,513,855,531,877,Tree
four_band.tif,677,783,704,810,Tree
four_band.tif,664,728,703,765,Tree
four_band.tif,670,705,689,728,Tree
four_band.tif,929,803,961,835,Tree
four_band.tif,1047,747,1073,773,Tree
four_band.tif,1003,454,1025,478,Tree
four_band.tif,931,378,953,401,Tree
four_band.tif,928,435,946,458,Tree
four_band.tif,955,572,975,596,Tree
four_band.tif,824,599,844,614,Tree
four_band.tif,819,577,834,601,Tree
four_band.tif,811,564,833,585,Tree
four_band.tif,846,586,861,603,Tree
four_band.tif,845,605,861,623,Tree
four_band.tif,949,689,984,732,Tree
four_band.tif,883,749,908,776,Tree
four_band.tif,952,832,984,862,Tree
four_band.tif,950,860,977,888,Tree
four_band.tif,999,812,1050,852,Tree
four_band.tif,1064,691,1090,717,Tree
four_band.tif,1128,692,1153,718,Tree
four_band.tif,1089,688,1119,721,Tree
four_band.tif,1074,597,1093,621,Tree
four_band.tif,1092,597,1112,617,Tree
four_band.tif,1112,605,1132,629,Tree
four_band.tif,1121,385,1153,451,Tree
four_band.tif,973,433,997,458,Tree
four_band.tif,986,569,1008,591,Tree
four_band.tif,1007,565,1052,614,Tree
four_band.tif,728,614,761,645,Tree
four_band.tif,731,658,762,691,Tree
four_band.tif,648,620,666,646,Tree
four_band.tif,678,599,704,627,Tree
four_band.tif,710,606,730,625,Tree
four_band.tif,970,474,996,499,Tree
four_band.tif,989,511,1010,536,Tree
four_band.tif,819,870,858,888,Tree
four_band.tif,665,659,682,681,Tree
four_band.tif,619,618,648,651,Tree
four_band.tif,266,133,285,157,Tree
four_band.tif,142,44,159,59,Tree
four_band.tif,158,89,178,104,Tree
four_band.tif,132,57,151,79,Tree
four_band.tif,40,177,85,230,Tree
four_band.tif,772,852,814,888,Tree
four_band.tif,728,835,752,856,Tree
four_band.tif,712,858,743,888,Tree
four_band.tif,618,835,643,871,Tree
four_band.tif,650,790,671,810,Tree
four_band.tif,644,750,678,785,Tree
four_band.tif,815,666,844,696,Tree
four_band.tif,821,638,847,660,Tree
four_band.tif,854,632,882,661,Tree
four_band.tif,885,694,916,730,Tree
four_band.tif,968,786,1006,823,Tree
four_band.tif,861,844,945,888,Tree
four_band.tif,1122,836,1145,868,Tree
four_band.tif,1075,853,1110,884,Tree
four_band.tif,1049,648,1074,677,Tree
four_band.tif,1086,650,1105,670,Tree
four_band.tif,948,532,963,548,Tree
four_band.tif,650,837,676,870,Tree
four_band.tif,540,798,576,837,Tree
four_band.tif,1,189,43,244,Tree
four_band.tif,87,151,126,193,Tree
four_band.tif,831,542,864,578,Tree
four_band.tif,64,218,106,263,Tree
four_band.tif,269,83,310,119,Tree
four_band.tif,763,800,811,855,Tree
four_band.tif,597,131,632,166,Tree
four_band.tif,489,45,530,93,Tree
four_band.tif,154,101,190,144,Tree
four_band.tif,953,18,968,39,Tree
four_band.tif,409,56,444,92,Tree
four_band.tif,562,21,578,34,Tree
four_band.tif,923,73,941,92,Tree
four_band.tif,937,59,958,78,Tree
four_band.tif,957,42,986,68,Tree
four_band.tif,1092,12,1118,42,Tree
four_band.tif,1031,80,1059,102,Tree
four_band.tif,833,850,850,872,Tree
four_band.tif,608,740,624,757,Tree
four_band.tif,571,783,587,802,Tree
four_band.tif,453,719,471,739,Tree
four_band.tif,989,489,1014,513,Tree
four_band.tif,963,506,987,529,Tree
four_band.tif,856,848,872,868,Tree
four_band.tif,430,803,459,828,Tree
four_band.tif,409,696,425,711,Tree
four_band.tif,271,447,296,470,Tree
four_band.tif,133,213,151,231,Tree
four_band.tif,320,129,373,187,Tree
four_band.tif,941,487,964,512,Tree
four_band.tif,915,723,941,745,Tree
four_band.tif,22,459,47,481,Tree
four_band.tif,28,29,55,53,Tree
four_band.tif,606,596,626,616,Tree
four_band.tif,234,380,245,395,Tree
four_band.tif,257,373,271,384,Tree
four_band.tif,285,379,303,398,Tree
four_band.tif,95,196,132,233,Tree
four_band.tif,375,149,396,176,Tree
four_band.tif,900,434,925,463,Tree
four_band.tif,644,807,660,825,Tree
four_band.tif,517,779,542,800,Tree
four_band.tif,413,713,432,729,Tree
four_band.tif,383,808,410,832,Tree
four_band.tif,669,863,708,888,Tree
four_band.tif,628,705,661,753,Tree
four_band.tif,1066,487,1101,525,Tree
four_band.tif,965,366,992,386,Tree
four_band.tif,505,809,530,833,Tree
four_band.tif,385,778,408,801,Tree
four_band.tif,368,814,387,838,Tree
four_band.tif,378,725,397,741,Tree
four_band.tif,823,614,846,636,Tree
four_band.tif,1106,651,1121,670,Tree
four_band.tif,295,51,314,74,Tree
four_band.tif,225,141,257,174,Tree
four_band.tif,322,1,348,17,Tree
four_band.tif,334,75,356,96,Tree
four_band.tif,326,49,354,74,Tree
four_band.tif,321,20,353,50,Tree
four_band.tif,546,108,577,138,Tree
four_band.tif,689,142,706,158,Tree
four_band.tif,892,388,923,417,Tree
four_band.tif,1069,350,1086,368,Tree
four_band.tif,786,620,815,647,Tree
four_band.tif,415,775,438,800,Tree
four_band.tif,609,694,636,720,Tree
four_band.tif,1129,719,1153,761,Tree
four_band.tif,1127,593,1151,616,Tree
four_band.tif,1075,538,1104,566,Tree
four_band.tif,1026,472,1052,498,Tree
four_band.tif,207,200,230,224,Tree
four_band.tif,495,96,521,119,Tree
four_band.tif,684,1,719,22,Tree
four_band.tif,651,12,684,43,Tree
four_band.tif,682,67,709,93,Tree
four_band.tif,690,41,710,66,Tree
four_band.tif,1039,1,1065,31,Tree
four_band.tif,852,15,876,40,Tree
four_band.tif,409,92,451,121,Tree
four_band.tif,473,1,515,42,Tree
four_band.tif,516,3,546,28,Tree
four_band.tif,620,51,642,73,Tree
four_band.tif,718,2,739,25,Tree
four_band.tif,686,21,709,39,Tree
four_band.tif,737,9,764,40,Tree
four_band.tif,824,77,845,98,Tree
four_band.tif,572,90,600,111,Tree
four_band.tif,357,94,391,125,Tree
four_band.tif,821,26,850,53,Tree
four_band.tif,979,1,1034,30,Tree
four_band.tif,713,103,734,121,Tree
four_band.tif,711,157,771,222,Tree
four_band.tif,645,168,671,188,Tree
four_band.tif,633,151,651,171,Tree
four_band.tif,764,480,798,510,Tree
four_band.tif,1006,637,1045,674,Tree
four_band.tif,695,825,724,851,Tree
four_band.tif,799,1,843,30,Tree
four_band.tif,393,8,426,46,Tree
four_band.tif,661,130,687,157,Tree
four_band.tif,497,687,519,716,Tree
four_band.tif,479,742,498,764,Tree
four_band.tif,326,826,351,854,Tree
four_band.tif,14,593,46,626,Tree
four_band.tif,153,482,190,512,Tree
four_band.tif,630,190,677,231,Tree
four_band.tif,713,767,772,826,Tree
four_band.tif,977,858,1019,888,Tree
four_band.tif,1087,410,1127,451,Tree
four_band.tif,358,849,385,880,Tree
four_band.tif,1,421,29,471,Tree
four_band.tif,103,76,153,122,Tree
four_band.tif,550,1,594,25,Tree
four_band.tif,758,743,787,779,Tree
four_band.tif,770,692,803,728,Tree
four_band.tif,1060,715,1093,754,Tree
four_band.tif,1037,711,1058,736,Tree
four_band.tif,1027,784,1049,805,Tree
four_band.tif,1016,46,1050,81,Tree
four_band.tif,1107,82,1143,118,Tree
four_band.tif,757,88,800,128,Tree
four_band.tif,25,480,53,509,Tree
four_band.tif,15,509,63,568,Tree
four_band.tif,64,529,140,589,Tree
four_band.tif,562,838,611,881,Tree
four_band.tif,385,742,415,769,Tree
four_band.tif,350,783,383,810,Tree
four_band.tif,703,736,724,762,Tree
four_band.tif,1091,722,1123,761,Tree
four_band.tif,1082,790,1118,839,Tree
four_band.tif,1020,861,1067,888,Tree
four_band.tif,823,785,852,823,Tree
four_band.tif,846,813,886,847,Tree
four_band.tif,910,94,950,130,Tree
four_band.tif,399,160,429,185,Tree
four_band.tif,391,121,425,153,Tree
four_band.tif,335,738,371,774,Tree
four_band.tif,1015,690,1040,718,Tree
four_band.tif,249,1,279,30,Tree
four_band.tif,1009,508,1038,539,Tree
four_band.tif,555,743,591,779,Tree
four_band.tif,47,591,81,625,Tree
four_band.tif,16,568,47,597,Tree
four_band.tif,410,266,433,287,Tree
four_band.tif,574,31,613,80,Tree
four_band.tif,823,143,873,188,Tree
four_band.tif,470,679,489,705,Tree
four_band.tif,1120,664,1150,691,Tree
four_band.tif,1124,781,1153,830,Tree
four_band.tif,959,67,996,106,Tree
four_band.tif,1091,453,1122,494,Tree
four_band.tif,936,620,984,676,Tree
four_band.tif,444,56,484,101,Tree
four_band.tif,108,234,152,280,Tree
four_band.tif,1030,390,1079,449,Tree
four_band.tif,766,21,812,64,Tree
four_band.tif,629,234,684,281,Tree
four_band.tif,540,135,599,188,Tree
four_band.tif,427,123,477,165,Tree
four_band.tif,475,127,513,160,Tree
four_band.tif,155,11,206,53,Tree
four_band.tif,252,40,283,72,Tree
four_band.tif,309,373,343,407,Tree
four_band.tif,103,1,149,31,Tree
four_band.tif,73,72,106,107,Tree
four_band.tif,92,39,126,72,Tree
four_band.tif,1,124,39,162,Tree
four_band.tif,6,64,53,119,Tree
four_band.tif,67,16,84,36,Tree
four_band.tif,1,1,31,34,Tree
four_band.tif,149,171,183,206,Tree
four_band.tif,156,225,188,260,Tree
four_band.tif,986,665,1023,700,Tree
four_band.tif,726,721,756,751,Tree
four_band.tif,428,18,467,52,Tree
four_band.tif,1022,755,1051,789,Tree
four_band.tif,705,48,741,99,Tree
four_band.tif,612,1,655,37,Tree
four_band.tif,361,19,403,67,Tree
four_band.tif,1119,470,1137,497,Tree
four_band.tif,1111,511,1145,546,Tree
four_band.tif,926,736,958,775,Tree
four_band.tif,859,719,891,756,Tree
four_band.tif,798,720,843,776,Tree
four_band.tif,183,145,224,177,Tree
four_band.tif,176,197,203,228,Tree
four_band.tif,181,226,215,274,Tree
four_band.tif,214,229,242,267,Tree
four_band.tif,185,270,218,311,Tree
four_band.tif,664,615,688,645,Tree
four_band.tif,555,686,600,744,Tree
four_band.tif,963,108,1010,147,Tree
four_band.tif,898,4,955,56,Tree
four_band.tif,876,41,922,96,Tree
four_band.tif,679,224,707,259,Tree
four_band.tif,199,49,249,106,Tree
four_band.tif,531,50,566,93,Tree
four_band.tif,633,92,674,131,Tree
four_band.tif,585,766,628,820,Tree
four_band.tif,686,634,728,686,Tree
four_band.tif,312,423,344,454,Tree
four_band.tif,146,278,187,314,Tree
four_band.tif,144,323,183,361,Tree
four_band.tif,92,287,138,326,Tree
four_band.tif,404,328,458,383,Tree
